name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Draymond Green","Golden State Warriors",2016-04-03,2015,6589,1610612744,400829039,2,6,23,0,"Pullup Jump shot","3PT Field Goal",24,"Portland Trail Blazers",27,247,0,0.00,,0.00,0.00
"Brandon Rush","Golden State Warriors",2016-04-03,2015,3457,1610612744,400829039,2,6,05,1,"Pullup Jump shot","3PT Field Goal",25,"Portland Trail Blazers",-153,208,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2015-12-25,2015,6475,1610612744,400828325,4,4,21,1,"Pullup Jump shot","2PT Field Goal",16,"Cleveland Cavaliers",71,149,0,0.60,"James, LeBron",8.40,10.10
"Harrison Barnes","Golden State Warriors",2016-01-25,2015,6578,1610612744,400828562,4,8,33,0,"Pullup Jump shot","3PT Field Goal",27,"San Antonio Spurs",-156,223,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2015-11-02,2015,6589,1610612744,400827938,2,5,33,1,"Pullup Jump shot","3PT Field Goal",26,"Memphis Grizzlies",-84,249,0,0.80,"Randolph, Zach",7.00,17.00
"Stephen Curry","Golden State Warriors",2016-02-20,2015,3975,1610612744,400828709,3,1,19,1,"Pullup Jump shot","3PT Field Goal",26,"Los Angeles Clippers",-120,237,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-04-03,2015,6578,1610612744,400829039,1,9,22,1,"Pullup Jump shot","2PT Field Goal",17,"Portland Trail Blazers",-130,116,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-01-14,2015,6578,1610612744,400828479,4,2,04,1,"Pullup Jump shot","3PT Field Goal",26,"Los Angeles Lakers",-11,262,0,0.00,"Russell, D'Angelo",2.20,17.20
"Stephen Curry","Golden State Warriors",2016-04-03,2015,3975,1610612744,400829039,1,8,20,1,"Pullup Jump shot","3PT Field Goal",23,"Portland Trail Blazers",228,41,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-04-03,2015,3975,1610612744,400829039,2,5,27,1,"Pullup Jump shot","3PT Field Goal",33,"Portland Trail Blazers",-173,282,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-02-20,2015,3975,1610612744,400828709,1,9,27,1,"Pullup Jump shot","3PT Field Goal",26,"Los Angeles Clippers",74,252,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-04-03,2015,3975,1610612744,400829039,3,5,35,0,"Pullup Jump shot","3PT Field Goal",26,"Portland Trail Blazers",17,264,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-12-16,2015,3975,1610612744,400828268,1,2,03,0,"Pullup Jump shot","3PT Field Goal",24,"Phoenix Suns",-107,224,6,5.50,"Bledsoe, Eric",5.50,18.00
"Klay Thompson","Golden State Warriors",2016-03-11,2015,6475,1610612744,400828858,1,6,30,1,"Pullup Jump shot","3PT Field Goal",24,"Portland Trail Blazers",28,247,0,0.00,,0.00,0.00
